analysis_name,mutation_rate,epimutation_rate,backepi_rate,w11,w22,w33,w44,w12,w13,w14,w23,w24,w34,h,solns,p1,p2,p3,p4,p2_p4_sum,p2_p4_estimate,p2_p4_mutselbalance,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.999951946,1,1,0.999951946,0.999951946,1,0.004805416,2,0.907518287,0.001571805,0.090751829,0.00015808,0.001729884,2.29E-03,2.08E-03,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.999683929,1,1,0.999683929,0.999683929,1,0.03160714,2,0.90877662,0.000313472,0.090877662,3.22463E-05,0.000345718,3.48E-04,3.16E-04,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.999582909,1,1,0.999582909,0.999582909,1,0.04170913,2,0.908851586,0.000238506,0.090885159,2.47497E-05,0.000263255,2.64E-04,2.40E-04,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.999459063,1,1,0.999459063,0.999459063,1,0.054093748,2,0.908905788,0.000184304,0.090890579,1.93295E-05,0.000203634,2.03E-04,1.85E-04,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.999316904,1,1,0.999316904,0.999316904,1,0.068309607,2,0.908943969,0.000146122,0.090894397,1.55113E-05,0.000161634,1.61E-04,1.46E-04,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.99931616,1,1,0.99931616,0.99931616,1,0.068384026,2,0.908944128,0.000145964,0.090894413,1.54955E-05,0.00016146,1.61E-04,1.46E-04,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.999268321,1,1,0.999268321,0.999268321,1,0.073167882,2,0.908953637,0.000136455,0.090895364,1.45446E-05,0.000150999,1.50E-04,1.37E-04,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.999254873,1,1,0.999254873,0.999254873,1,0.074512749,2,0.908956092,0.000134,0.090895609,1.42991E-05,0.000148299,1.48E-04,1.34E-04,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.999134678,1,1,0.999134678,0.999134678,1,0.086532151,2,0.908974655,0.000115437,0.090897466,1.24428E-05,0.000127879,1.27E-04,1.16E-04,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.999128039,1,1,0.999128039,0.999128039,1,0.087196097,2,0.908975532,0.00011456,0.090897553,1.23551E-05,0.000126915,1.26E-04,1.15E-04,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.999087276,1,1,0.999087276,0.999087276,1,0.091272435,2,0.908980637,0.000109455,0.090898064,1.18446E-05,0.000121299,1.21E-04,1.10E-04,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.999051894,1,1,0.999051894,0.999051894,1,0.094810589,2,0.908984713,0.000105379,0.090898471,1.1437E-05,0.000116815,1.16E-04,1.05E-04,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.999036264,1,1,0.999036264,0.999036264,1,0.096373612,2,0.908986419,0.000103673,0.090898642,1.12664E-05,0.000114939,1.14E-04,1.04E-04,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.999018666,1,1,0.999018666,0.999018666,1,0.098133405,2,0.908988275,0.000101817,0.090898827,1.10808E-05,0.000112898,1.12E-04,1.02E-04,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.998717722,1,1,0.998717722,0.998717722,1,0.128227817,2,0.909012141,7.7951E-05,0.090901214,8.69419E-06,8.66452E-05,8.58E-05,7.80E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.998663737,1,1,0.998663737,0.998663737,1,0.133626254,2,0.909015287,7.48049E-05,0.090901529,8.37959E-06,8.31845E-05,8.23E-05,7.48E-05,,,
