scenario,mutation,epimutation,back_epimutation,w11,w22,w33,w44,w12,w13,w14,w23,w24,w34,num_equil,p1_equil,p2_equil,p3_equil,eigen1,eigen2,eigen3,determinant
1a,1.00E-07,0.102977551,0.01,0.99,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,1,0,0.083023425,0,-0.120448032,-0.119106583,-0.008421963,-0.000120823
1a,1.00E-07,2.68E-05,0.01,0.99,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,1,0,0.997319499,0,-0.010026977,-0.009973412,-1.73E-07,-1.73E-11
1a,1.00E-07,0.001264407,0.01,0.99,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,1,0,0.875770603,0,-0.011418615,-0.009246043,-0.000155964,-1.65E-08
1a,1.00E-07,0.001107447,0.01,0.99,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,1,0,0.890734596,0,-0.011226789,-0.009282805,-0.000120681,-1.26E-08
1a,1.00E-07,0.099857205,0.01,0.99,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,1,0,0.085238414,0,-0.117318096,-0.115939242,-0.008381666,-0.000114006
1a,1.00E-07,1.64E-05,0.01,0.99,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,1,0,0.998362586,0,-0.010016501,-0.009983707,-1.27E-07,-1.27E-11
1a,1.00E-07,0.001034748,0.01,0.99,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,1,0,0.897728763,0,-0.011139322,-0.009305292,-0.000105739,-1.10E-08
1a,1.00E-07,0.001503622,0.01,0.99,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,1,0,0.853369408,0,-0.011718355,-0.009220539,-0.00021723,-2.35E-08
1a,1.00E-07,0.043855216,0.01,0.99,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,1,0,0.165382214,0,-0.060466094,-0.057864406,-0.006987167,-2.44E-05
1a,1.00E-07,3.44E-05,0.01,0.99,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,1,0,0.996557915,0,-0.01003464,-0.009965937,-2.20E-07,-2.20E-11
1a,1.00E-07,0.018879248,0.01,0.99,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,1,0,0.296669672,0,-0.033707623,-0.029654574,-0.004971959,-4.97E-06
1a,1.00E-07,0.001014359,0.01,0.99,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,1,0,0.899697025,0,-0.011114953,-0.009312223,-0.000101713,-1.05E-08
1a,1.00E-07,0.013145736,0.01,0.99,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,1,0,0.369681303,0,-0.027050426,-0.022488556,-0.003997207,-2.43E-06
1a,1.00E-07,0.000136037,0.01,0.99,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,1,0,0.986398895,0,-0.010137986,-0.009869602,-1.97E-06,-1.97E-10
1a,1.00E-07,0.019644331,0.01,0.99,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,1,0,0.289264748,0,-0.034570506,-0.030580999,-0.005076667,-5.37E-06
1a,1.00E-07,0.324794614,0.01,0.99,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,1,0,0.029319844,0,-0.341066035,-0.340690651,-0.009427746,-0.001095485
1a,1.00E-07,7.46E-05,0.01,0.99,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,1,0,0.992540395,0,-0.010075257,-0.009927089,-6.62E-07,-6.62E-11
1a,1.00E-07,0.00021694,0.01,0.99,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,1,0,0.97831656,0,-0.01022174,-0.009797472,-4.85E-06,-4.86E-10
1a,1.00E-07,4.61E-05,0.01,0.99,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,1,0,0.995391989,0,-0.010046393,-0.009954562,-3.14E-07,-3.15E-11
1a,1.00E-07,0.001910177,0.01,0.99,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,1,0,0.81661131,0,-0.012245828,-0.009258392,-0.000339696,-3.85E-08
