scenario,mutation,epimutation,back_epimutation,w11,w22,w33,w44,w12,w13,w14,w23,w24,w34,num_equil,p1_equil,p2_equil,p3_equil,eigen1,eigen2,eigen3,determinant
1a-symmetric,1.00E-07,0.026756241,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.235819101,4.55E-06,0.764163846,-0.042404568,-0.038938941,-0.005863751,-9.68E-06
1a-symmetric,1.00E-07,0.000417907,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.959885728,0,-0.010418007,-0.010417907,-1.00E-07,-1.09E-11
1a-symmetric,1.00E-07,0.000651495,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.938835389,0,-0.010651595,-0.010651495,-1.00E-07,-1.13E-11
1a-symmetric,1.00E-07,0.013094964,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.432994834,0,-0.023095064,-0.023094964,-1.00E-07,-5.33E-11
1a-symmetric,1.00E-07,0.012171532,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.451028823,0,-0.022171632,-0.022171532,-1.00E-07,-4.92E-11
1a-symmetric,1.00E-07,0.000739438,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.931147389,0,-0.010739538,-0.010739438,-1.00E-07,-1.15E-11
1a-symmetric,1.00E-07,0.001265953,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.88763019,0,-0.011266053,-0.011265953,-1.00E-07,-1.27E-11
1a-symmetric,1.00E-07,0.00304997,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.766285282,0,-0.01305007,-0.01304997,-1.00E-07,-1.70E-11
1a-symmetric,1.00E-07,0.00454275,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.687627846,0,-0.01454285,-0.01454275,-1.00E-07,-2.11E-11
1a-symmetric,1.00E-07,9.37E-05,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.861891603,0.1287612,0.008140816,-0.010094354,-0.009933178,-5.68E-07,-5.69E-11
1a-symmetric,1.00E-07,0.000969319,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.911633659,0,-0.010969419,-0.010969319,-1.00E-07,-1.20E-11
1a-symmetric,1.00E-07,0.008577511,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.538285239,0,-0.018577611,-0.018577511,-1.00E-07,-3.45E-11
1a-symmetric,1.00E-07,0.000421722,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.959534327,0,-0.010421822,-0.010421722,-1.00E-07,-1.09E-11
1a-symmetric,1.00E-07,0.006973436,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.589155917,0,-0.016973536,-0.016973436,-1.00E-07,-2.88E-11
1a-symmetric,1.00E-07,0.000402532,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.961304412,0,-0.010402632,-0.010402532,-1.00E-07,-1.08E-11
1a-symmetric,1.00E-07,0.000218592,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.957416412,0.02075473,0.021375172,-0.01022316,-0.009805193,-4.51E-06,-4.52E-10
1a-symmetric,1.00E-07,0.006028358,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.623894234,0,-0.016028458,-0.016028358,-1.00E-07,-2.57E-11
1a-symmetric,1.00E-07,0.003927896,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.717983516,0,-0.013927996,-0.013927896,-1.00E-07,-1.94E-11
1a-symmetric,1.00E-07,0.003704172,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.729704777,0,-0.013704272,-0.013704172,-1.00E-07,-1.88E-11
1a-symmetric,1.00E-07,0.000838933,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.922600076,0,-0.010839033,-0.010838933,-1.00E-07,-1.17E-11
1a-symmetric,1.00E-07,0.001080047,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.902523238,0,-0.011080147,-0.011080047,-1.00E-07,-1.23E-11
1a-symmetric,1.00E-07,0.017861491,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0,0.358918338,0,-0.027861591,-0.027861491,-1.00E-07,-7.76E-11
1a-symmetric,1.00E-07,9.64E-05,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.870029736,0.120349597,0.008460188,-0.010097141,-0.009929685,-6.21E-07,-6.23E-11
1a-symmetric,1.00E-07,0.000260338,0.01,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,3,0.959521246,0.014482659,0.025619051,-0.010266899,-0.009768086,-6.52E-06,-6.54E-10
